机审一级标签,策略ID,策略名称,送审原因,POC,日均进审量,日均完审量,日均打标量,打标率,命中原因
领导人,10003788046,【送人审】N1-title词表,title_leader_table_8578,宋诗慧,9172.285714285714,9093.42857142857,620.8571428571429,0.06827536368492161,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10012612012,【送审】党政综合ocr词表,party_state_military_gov_8871_ocr_antidirt,李中涛,8194.142857142857,8125.285714285715,799.5714285714286,0.09840533080155422,近7天打标率<10%且进审量>100，纳入观察
国家安全,10013031733,【人审】国家安全-常规词表-OCR,national_security_regular_OCR_words_review,杜衡,7766.285714285715,7687.571428571428,428.7142857142857,0.05576719380075446,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10008330225,【ZL送人审】指令地理条件命中召回-300vv,fence_recall,张发奇,6822.428571428572,6809.0,236.0,0.03466000881186665,近7天打标率<10%且进审量>100，纳入观察
领导人,10006128216,核心政务号|政务号白名单,core_protection_gov_user,宋诗慧,4742.142857142857,4742.0,0.5714285714285714,0.00012050370548894379,近7天打标率<10%且进审量>100，纳入观察
色情性化,10013833877,色情低俗-色情导流-词表-高准机审,sqds_sqdl_key_word_high_acc_review,刘小楷,4615.428571428572,4613.857142857143,332.42857142857144,0.07205003560702232,近7天打标率<10%且进审量>100，纳入观察
领导人,15811696,【送审】领导人标题敏感词-旧,leader_antidirt,宋诗慧,4357.0,4304.714285714285,323.85714285714283,0.07523313310987953,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012811198,【人审-LS风险】BASE_OCR_LS常规词表_8883,LS_regular_BASE_OCR_words_review,杜衡,4255.571428571428,4200.285714285715,68.57142857142857,0.016325420039453097,近7天打标率<10%且进审量>100，纳入观察
国家安全,10034206201,【人审-藏语队列】达赖生日扩召回策略_疑似涉藏分裂分子,national_security_tibetan_risk_user_list_for_dailai_birthday_temp_manual,杜衡,3864.0,3863.3333333333335,158.33333333333334,0.040983606557377046,近7天打标率<10%且进审量>100，纳入观察
国家安全,10033554719,识别_gandalf策略替换_时政8分类p2LS,model_llm_gandalf_8class_p2_ls_manual,杜衡,3769.4285714285716,3780.285714285714,184.42857142857142,0.04878693976267856,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012811200,【人审】国家安全-常规词表-标题,national_security_regular_title_words_review,杜衡,3339.5714285714284,3307.714285714286,310.57142857142856,0.0938930638334629,近7天打标率<10%且进审量>100，纳入观察
国家安全,10032388172,【人审-藏语队列】藏语风险用户全量进审,national_security_tibetan_risk_user_list_manual,杜衡,3233.1428571428573,3251.5714285714284,216.14285714285714,0.06647335354334168,近7天打标率<10%且进审量>100，纳入观察
