severity_level,severity_priority,mach_root_label_name,strategy_id,strategy_name,reason,POC,data_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate,prev_avg_review_in_cnt,prev_label_rate,growth_rate,daily_delta,hit_rule_ids,hit_conditions
P0,0,领导人,10006128216,核心政务号|政务号白名单,core_protection_gov_user,宋诗慧,7,33195.0,33194.0,4.0,4742.142857142857,4742.0,0.5714285714285714,0.00012050370548894379,4032.5714285714284,7.086167800453515e-05,0.0,0.0,p0_four_week_persistent_low_efficiency,近1周日均进审>2000且连续4周打标率<3%
P0,0,国家安全,10012811198,【人审-LS风险】BASE_OCR_LS常规词表_8883,LS_regular_BASE_OCR_words_review,杜衡,7,29789.0,29402.0,480.0,4255.571428571428,4200.285714285715,68.57142857142857,0.016325420039453097,4223.571428571428,0.015089349293004645,0.0,0.0,p0_four_week_persistent_low_efficiency,近1周日均进审>2000且连续4周打标率<3%
P0,0,领导人,10006132401,gov进审-召回,is_govB_media,宋诗慧,7,18191.0,18185.0,37.0,2598.714285714286,2597.8571428571427,5.285714285714286,0.0020346439373109706,2624.5714285714284,0.002985398686424578,0.0,0.0,p0_four_week_persistent_low_efficiency,近1周日均进审>2000且连续4周打标率<3%
P1,1,国家安全,10015622164,【人审】国家安全召回词表,national_security_recall_rewords_review,杜衡,7,14433.0,14480.0,316.0,2061.8571428571427,2068.5714285714284,45.142857142857146,0.021823204419889504,2180.4285714285716,0.016501216225100257,0.0,0.0,p1_two_week_persistent_low_efficiency,双周期日均进审>2000且双周期打标率<3%
P2,2,指令舆情相关,10008330225,【ZL送人审】指令地理条件命中召回-300vv,fence_recall,张发奇,7,47757.0,47663.0,1652.0,6822.428571428572,6809.0,236.0,0.03466000881186665,4810.857142857143,0.04553690776771127,0.41813160707922553,2011.5714285714284,p2_low_efficiency_growth,本期打标率<10%，上期日均进审>0，环比>20%，日均增量>2000
P2,2,领导人,10011265292,【送审】19N2粉丝账号,pentax_fans_19_n2,宋诗慧,7,18396.0,18380.0,1174.0,2628.0,2625.714285714286,167.71428571428572,0.06387377584330794,402.57142857142856,0.05410379094589621,5.528034066713982,2225.4285714285716,p2_low_efficiency_growth,本期打标率<10%，上期日均进审>0，环比>20%，日均增量>2000
P2,2,领导人,10004770670,【送审】19-N2隐晦悼念,lkq_eva_daonian,宋诗慧,5,10414.0,10220.0,202.0,2082.8,2044.0,40.4,0.019765166340508806,21.714285714285715,0.06896551724137931,94.91842105263159,2061.0857142857144,p2_low_efficiency_growth,本期打标率<10%，上期日均进审>0，环比>20%，日均增量>2000
notice,3,领导人,10003788046,【送人审】N1-title词表,title_leader_table_8578,宋诗慧,7,64206.0,63654.0,4346.0,9172.285714285714,9093.42857142857,620.8571428571429,0.06827536368492161,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10012612012,【送审】党政综合ocr词表,party_state_military_gov_8871_ocr_antidirt,李中涛,7,57359.0,56877.0,5597.0,8194.142857142857,8125.285714285715,799.5714285714286,0.09840533080155422,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10013031733,【人审】国家安全-常规词表-OCR,national_security_regular_OCR_words_review,杜衡,7,54364.0,53813.0,3001.0,7766.285714285715,7687.571428571428,428.7142857142857,0.05576719380075446,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
