mach_root_label_name,strategy_id,strategy_name,reason,data_days,calendar_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate
领导人,10003788046,【送人审】N1-title词表,title_leader_table_8578,7,7,63733.0,62948.0,4099.0,9104.714285714286,8992.57142857143,585.5714285714286,0.06511723962635826
国家安全,10013031733,【人审】国家安全-常规词表-OCR,national_security_regular_OCR_words_review,7,7,47979.0,47353.0,2907.0,6854.142857142857,6764.714285714285,415.2857142857143,0.06138998585094926
指令舆情相关,10008330225,【ZL送人审】指令地理条件命中召回-300vv,fence_recall,7,7,45374.0,45381.0,1828.0,6482.0,6483.0,261.14285714285717,0.040281174941054626
指令舆情相关,10027554497,【ZL送人审】综合_指令自见综合&举报-副本34,ZL_eva_227415_general_multi_rept_review,5,7,23662.0,23737.0,1223.0,4732.4,4747.4,244.6,0.051522938871803516
领导人,10006128216,核心政务号|政务号白名单,core_protection_gov_user,7,7,32340.0,32339.0,2.0,4620.0,4619.857142857143,0.2857142857142857,6.184483131822258e-05
色情性化,10013833877,色情低俗-色情导流-词表-高准机审,sqds_sqdl_key_word_high_acc_review,7,7,30785.0,30782.0,2474.0,4397.857142857143,4397.428571428572,353.42857142857144,0.08037164576700669
领导人,15811696,【送审】领导人标题敏感词-旧,leader_antidirt,7,7,30616.0,30242.0,2449.0,4373.714285714285,4320.285714285715,349.85714285714283,0.080980093909133
国家安全,10012811198,【人审-LS风险】BASE_OCR_LS常规词表_8883,LS_regular_BASE_OCR_words_review,7,7,29862.0,29408.0,453.0,4266.0,4201.142857142857,64.71428571428571,0.015403971708378672
国家安全,10032388172,【人审-藏语队列】藏语风险用户全量进审,national_security_tibetan_risk_user_list_manual,7,7,23275.0,24104.0,1646.0,3325.0,3443.4285714285716,235.14285714285714,0.06828742117490873
国家安全,10033554719,识别_gandalf策略替换_时政8分类p2LS,model_llm_gandalf_8class_p2_ls_manual,6,7,20324.0,20081.0,1000.0,3387.3333333333335,3346.8333333333335,166.66666666666666,0.04979831681689159
领导人,10012314255,【送审】领导人OCR敏感词-nlp,leader_nlp_ocr_antidirt,7,7,23574.0,23226.0,2145.0,3367.714285714286,3318.0,306.42857142857144,0.09235339705502454
领导人,10029566172,识别_N1出行,N1_chuxing_model_llm_pe_review,6,7,19315.0,19411.0,330.0,3219.1666666666665,3235.1666666666665,55.0,0.01700066972335274
国家安全,10012811200,【人审】国家安全-常规词表-标题,national_security_regular_title_words_review,7,7,22261.0,21924.0,2162.0,3180.1428571428573,3132.0,308.85714285714283,0.09861339171684
领导人,15801160,【送审】敏感人物旧模型-XP召回,leader_recall_xi,7,7,21334.0,21644.0,1618.0,3047.714285714286,3092.0,231.14285714285714,0.07475512844206246
国家安全,10001819210,【国家安全】雪山狮子旗eva-进审藏语,xueshanshizi_eva_33346_v6_2_jinshen,7,7,19993.0,19527.0,1299.0,2856.1428571428573,2789.5714285714284,185.57142857142858,0.06652327546474113
国家安全,10034206201,【人审-藏语队列】达赖生日扩召回策略_疑似涉藏分裂分子,national_security_tibetan_risk_user_list_for_dailai_birthday_temp_manual,2,7,6049.0,5379.0,237.0,3024.5,2689.5,118.5,0.044060234244283326
领导人,10010019712,【送审】ocr领导人词表召回,ocr_leader_table_500recall,7,7,18201.0,18406.0,754.0,2600.1428571428573,2629.4285714285716,107.71428571428571,0.040964902749103554
领导人,10030630872,识别_游戏画面小字号文本,model_llm_pe_N1_game_little_ocr_review,1,7,2728.0,2578.0,53.0,2728.0,2578.0,53.0,0.020558572536850273
领导人,10006132401,gov进审-召回,is_govB_media,7,7,17766.0,17771.0,39.0,2538.0,2538.714285714286,5.571428571428571,0.0021945866861741038
指令舆情相关,10022271678,【ZL送人审】指令准入_ocr词表_AIGC,ZL_antidirt_10518_aigc_ocr_aigc_review,7,7,18623.0,17464.0,1672.0,2660.4285714285716,2494.8571428571427,238.85714285714286,0.09573980760421438
领导人,10008022137,【送人审】N1高危消重-低危名单豁免,n1_high_risk_dudep_with_crop_unsafeuser,7,7,17419.0,16968.0,987.0,2488.4285714285716,2424.0,141.0,0.05816831683168317
国家安全,10034071913,识别_宣扬分裂主义敏感人物人脸通用PE,model_llm_national_security_fenlie_sensitive_person_face_manual,3,7,7203.0,7083.0,238.0,2401.0,2361.0,79.33333333333333,0.0336015812508824
国家安全,10031846913,【人审-LS风险】封面OCR_LS常规词表_12515,LS_regular_COVER_OCR_words_review,7,7,16675.0,16483.0,164.0,2382.1428571428573,2354.714285714286,23.428571428571427,0.00994964508887945
